title,author,year,publication
Ask\&amp;Confirm: Active Detail Enriching for Cross-Modal Retrieval With Partial Query,"Cai Guanyu , Zhang Jun , Jiang Xinyang , Gong Yifei , He Lianghua , Yu Fufu , Peng Pai , Guo Xiaowei , Huang Feiyue , Sun Xing",2021,ICCV2021
EventHands: Real-Time Neural 3D Hand Pose Estimation From an Event Stream,"Rudnev Viktor , Golyanik Vladislav , Wang Jiayi , Seidel Hans-Peter , Mueller Franziska , Elgharib Mohamed , Theobalt Christian",2021,ICCV2021
Composable Augmentation Encoding for Video Representation Learning,"Sun Chen , Nagrani Arsha , Tian Yonglong , Schmid Cordelia",2021,ICCV2021
Exploiting Explanations for Model Inversion Attacks,"Zhao Xuejun , Zhang Wencan , Xiao Xiaokui , Lim Brian",2021,ICCV2021
Semantic Diversity Learning for Zero-Shot Multi-Label Classification,"Ben-Cohen Avi , Zamir Nadav , Ben-Baruch Emanuel , Friedman Itamar , Zelnik-Manor Lihi",2021,ICCV2021
Describing and Localizing Multiple Changes With Transformers,"Qiu Yue , Yamamoto Shintaro , Nakashima Kodai , Suzuki Ryota , Iwata Kenji , Kataoka Hirokatsu , Satoh Yutaka",2021,ICCV2021
Score-Based Point Cloud Denoising,"Luo Shitong , Hu Wei",2021,ICCV2021
Panoptic Segmentation of Satellite Image Time Series With Convolutional Temporal Attention Networks,"Garnot Vivien Sainte Fare , L,rieu Loic",2021,ICCV2021
Focus on the Positives: Self-Supervised Learning for Biodiversity Monitoring,"Pantazis Omiros , Brostow Gabriel J. , Jones Kate E. , Mac Aodha Oisin",2021,ICCV2021
Bridging Unsupervised and Supervised Depth From Focus via All-in-Focus Supervision,"Wang Ning-Hsu , Wang Ren , Liu Yu-Lun , Huang Yu-Hao , Chang Yu-Lin , Chen Chia-Ping , Jou Kevin",2021,ICCV2021
Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction Without Convolutions,"Wang Wenhai , Xie Enze , Li Xiang , Fan Deng-Ping , Song Kaitao , Liang Ding , Lu Tong , Luo Ping , Shao Ling",2021,ICCV2021
DOLG: Single-Stage Image Retrieval With Deep Orthogonal Fusion of Local and Global Features,"Yang Min , He Dongliang , Fan Miao , Shi Baorong , Xue Xuetong , Li Fu , Ding Errui , Huang Jizhou",2021,ICCV2021
Light Source Guided Single-Image Flare Removal From Unpaired Data,"Qiao Xiaotian , Hancke Gerhard P. , Lau Rynson W.H.",2021,ICCV2021
Learning Bias-Invariant Representation by Cross-Sample Mutual Information Minimization,"Zhu Wei , Zheng Haitian , Liao Haofu , Li Weijian , Luo Jiebo",2021,ICCV2021
Selective Feature Compression for Efficient Activity Recognition Inference,"Liu Chunhui , Li Xinyu , Chen Hao , Modolo Davide , Tighe Joseph",2021,ICCV2021
Attention-Based Multi-Reference Learning for Image Super-Resolution,"Pesavento Marco , Volino Marco , Hilton Adrian",2021,ICCV2021
Spatial-Temporal Transformer for Dynamic Scene Graph Generation,"Cong Yuren , Liao Wentong , Ackermann Hanno , Rosenhahn Bodo , Yang Michael Ying",2021,ICCV2021
Deep Transport Network for Unsupervised Video Object Segmentation,"Zhang Kaihua , Zhao Zicheng , Liu Dong , Liu Qingshan , Liu Bo",2021,ICCV2021
RDI-Net: Relational Dynamic Inference Networks,"Wang Huanyu , Li Songyuan , Su Shihao , Qin Zequn , Li Xi",2021,ICCV2021
Densely Guided Knowledge Distillation Using Multiple Teacher Assistants,"Son Wonchul , Na Jaemin , Choi Junyong , Hwang Wonjun",2021,ICCV2021
Pi-NAS: Improving Neural Architecture Search by Reducing Supernet Training Consistency Shift,"Peng Jiefeng , Zhang Jiqi , Li Changlin , Wang Guangrun , Liang Xiaodan , Lin Liang",2021,ICCV2021
ARAPReg: An As-Rigid-As Possible Regularization Loss for Learning Deformable Shape Generators,"Huang Qixing , Huang Xiangru , Sun Bo , Zhang Zaiwei , Jiang Junfeng , Bajaj Ch,rajit",2021,ICCV2021
Online Refinement of Low-Level Feature Based Activation Map for Weakly Supervised Object Localization,"Xie Jinheng , Luo Cheng , Zhu Xiangping , Jin Ziqi , Lu Weizeng , Shen Linlin",2021,ICCV2021
Grounding Consistency: Distilling Spatial Common Sense for Precise Visual Relationship Detection,"Diomataris Markos , Gkanatsios Nikolaos , Pitsikalis Vassilis , Maragos Petros",2021,ICCV2021
Long-Term Temporally Consistent Unpaired Video Translation From Simulated Surgical 3D Data,"Rivoir Dominik , Pfeiffer Micha , Docea Reuben , Kolbinger Fiona , Riediger Carina , Weitz J\""urgen , Speidel Stefanie",2021,ICCV2021
Bridging the Gap Between Label- and Reference-Based Synthesis in Multi-Attribute Image-to-Image Translation,"Huang Qiusheng , Zheng Zhilin , Hu Xueqi , Sun Li , Li Qingli",2021,ICCV2021
A Broad Study on the Transferability of Visual Representations With Contrastive Learning,"Islam Ashraful , Chen Chun-Fu (Richard) , P,a Rameswar , Karlinsky Leonid , Radke Richard , Feris Rogerio",2021,ICCV2021
TempNet: Online Semantic Segmentation on Large-Scale Point Cloud Series,"Zhou Yunsong , Zhu Hongzi , Li Chunqin , Cui Tiankai , Chang Shan , Guo Minyi",2021,ICCV2021
Bayesian Deep Basis Fitting for Depth Completion With Uncertainty,"Qu Chao , Liu Wenxin , Taylor Camillo J.",2021,ICCV2021
Query Adaptive Few-Shot Object Detection With Heterogeneous Graph Convolutional Networks,"Han Guangxing , He Yicheng , Huang Shiyuan , Ma Jiawei , Chang Shih-Fu",2021,ICCV2021
ResRep: Lossless CNN Pruning via Decoupling Remembering and Forgetting,"Ding Xiaohan , Hao Tianxiang , Tan Jianchao , Liu Ji , Han Jungong , Guo Yuchen , Ding Guiguang",2021,ICCV2021
P2-Net: Joint Description and Detection of Local Features for Pixel and Point Matching,"Wang Bing , Chen Changhao , Cui Zhaopeng , Qin Jie , Lu Chris Xiaoxuan , Yu Zhengdi , Zhao Peijun , Dong Zhen , Zhu Fan , Trigoni Niki , Markham Andrew",2021,ICCV2021
Generalize Then Adapt: Source-Free Domain Adaptive Semantic Segmentation,"Kundu Jogendra Nath , Kulkarni Akshay , Singh Amit , Jampani Varun , Babu R. Venkatesh",2021,ICCV2021
Cross-Modality Person Re-Identification via Modality Confusion and Center Aggregation,"Hao Xin , Zhao Sanyuan , Ye Mang , Shen Jianbing",2021,ICCV2021
T-Net: Effective Permutation-Equivariant Network for Two-View Correspondence Learning,"Zhong Zhen , Xiao Guobao , Zheng Linxin , Lu Yan , Ma Jiayi",2021,ICCV2021
Temporal Cue Guided Video Highlight Detection With Low-Rank Audio-Visual Fusion,"Ye Qinghao , Shen Xiyue , Gao Yuan , Wang Zirui , Bi Qi , Li Ping , Yang Guang",2021,ICCV2021
Adversarial VQA: A New Benchmark for Evaluating the Robustness of VQA Models,"Li Linjie , Lei Jie , Gan Zhe , Liu Jingjing",2021,ICCV2021
