title,author,year,publication
TACo: Token-Aware Cascade Contrastive Learning for Video-Text Alignment,"Yang Jianwei , Bisk Yonatan , Gao Jianfeng",2021,ICCV2021
Meta Learning on a Sequence of Imbalanced Domains With Difficulty Awareness,"Wang Zhenyi , Duan Tiehang , Fang Le , Suo Qiuling , Gao Mingchen",2021,ICCV2021
Ranking Models in Unlabeled New Environments,"Sun Xiaoxiao , Hou Yunzhong , Deng Weijian , Li Hongdong , Zheng Liang",2021,ICCV2021
Adaptive Confidence Thresholding for Monocular Depth Estimation,"Choi Hyesong , Lee Hunsang , Kim Sunkyung , Kim Sunok , Kim Seungryong , Sohn Kwanghoon , Min Dongbo",2021,ICCV2021
Embedding Novel Views in a Single JPEG Image,"Wu Yue , Meng Guotao , Chen Qifeng",2021,ICCV2021
Channel Augmented Joint Learning for Visible-Infrared Recognition,"Ye Mang , Ruan Weijian , Du Bo , Shou Mike Zheng",2021,ICCV2021
OMNet: Learning Overlapping Mask for Partial-to-Partial Point Cloud Registration,"Xu Hao , Liu Shuaicheng , Wang Guangfu , Liu Guanghui , Zeng Bing",2021,ICCV2021
Learning Skeletal Graph Neural Networks for Hard 3D Pose Estimation,"Zeng Ailing , Sun Xiao , Yang Lei , Zhao Nanxuan , Liu Minhao , Xu Qiang",2021,ICCV2021
Recursively Conditional Gaussian for Ordinal Unsupervised Domain Adaptation,"Liu Xiaofeng , Li Site , Ge Yubin , Ye Pengyi , You Jane , Lu Jun",2021,ICCV2021
Learning Anchored Unsigned Distance Functions With Gradient Direction Alignment for Single-View Garment Reconstruction,"Zhao Fang , Wang Wenhao , Liao Shengcai , Shao Ling",2021,ICCV2021
TeachText: CrossModal Generalized Distillation for Text-Video Retrieval,"Croitoru Ioana , Bogolin Simion-Vlad , Leordeanu Marius , Jin Hailin , Zisserman Andrew , Albanie Samuel , Liu Yang",2021,ICCV2021
Geometry Uncertainty Projection Network for Monocular 3D Object Detection,"Lu Yan , Ma Xinzhu , Yang Lei , Zhang Tianzhu , Liu Yating , Chu Qi , Yan Junjie , Ouyang Wanli",2021,ICCV2021
OVANet: One-vs-All Network for Universal Domain Adaptation,"Saito Kuniaki , Saenko Kate",2021,ICCV2021
A Hybrid Frequency-Spatial Domain Model for Sparse Image Reconstruction in Scanning Transmission Electron Microscopy,"He Bintao , Zhang Fa , Zhang Huanshui , Han Renmin",2021,ICCV2021
Attentional Pyramid Pooling of Salient Visual Residuals for Place Recognition,"Peng Guohao , Zhang Jun , Li Heshan , Wang Danwei",2021,ICCV2021
Learning With Noisy Labels for Robust Point Cloud Segmentation,"Ye Shuquan , Chen Dongdong , Han Songfang , Liao Jing",2021,ICCV2021
Where Are You Heading? Dynamic Trajectory Prediction With Expert Goal Examples,"Zhao He , Wildes Richard P.",2021,ICCV2021
Planar Surface Reconstruction From Sparse Views,"Jin Linyi , Qian Shengyi , Owens Andrew , Fouhey David F.",2021,ICCV2021
Dynamic Divide-and-Conquer Adversarial Training for Robust Semantic Segmentation,"Xu Xiaogang , Zhao Hengshuang , Jia Jiaya",2021,ICCV2021
MixMix: All You Need for Data-Free Compression Are Feature and Data Mixing,"Li Yuhang , Zhu Feng , Gong Ruihao , Shen Mingzhu , Dong Xin , Yu Fengwei , Lu Shaoqing , Gu Shi",2021,ICCV2021
VidTr: Video Transformer Without Convolutions,"Zhang Yanyi , Li Xinyu , Liu Chunhui , Shuai Bing , Zhu Yi , Brattoli Biagio , Chen Hao , Marsic Ivan , Tighe Joseph",2021,ICCV2021
LocTex: Learning Data-Efficient Visual Representations From Localized Textual Supervision,"Liu Zhijian , Stent Simon , Li Jie , Gideon John , Han Song",2021,ICCV2021
Weakly Supervised Segmentation of Small Buildings With Point Labels,"Lee Jae-Hun , Kim ChanYoung , Sull Sanghoon",2021,ICCV2021
Online Knowledge Distillation for Efficient Pose Estimation,"Li Zheng , Ye Jingwen , Song Mingli , Huang Ying , Pan Zhigeng",2021,ICCV2021
HAA500: Human-Centric Atomic Action Dataset With Curated Videos,"Chung Jihoon , Wuu Cheng-hsin , Yang Hsuan-ru , Tai Yu-Wing , Tang Chi-Keung",2021,ICCV2021
Efficient Large Scale Inlier Voting for Geometric Vision Problems,"Aiger Dror , Lynen Simon , Hosang Jan , Zeisl Bernhard",2021,ICCV2021
"From Goals, Waypoints \&amp; Paths to Long Term Human Trajectory Forecasting","Mangalam Karttikeya , An Yang , Girase Harshayu , Malik Jitendra",2021,ICCV2021
DiscoBox: Weakly Supervised Instance Segmentation and Semantic Correspondence From Box Supervision,"Lan Shiyi , Yu Zhiding , Choy Christopher , Radhakrishnan Subhashree , Liu Guilin , Zhu Yuke , Davis Larry S. , An,kumar Anima",2021,ICCV2021
VENet: Voting Enhancement Network for 3D Object Detection,"Xie Qian , Lai Yu-Kun , Wu Jing , Wang Zhoutao , Lu Dening , Wei Mingqiang , Wang Jun",2021,ICCV2021
Intrinsic-Extrinsic Preserved GANs for Unsupervised 3D Pose Transfer,"Chen Haoyu , Tang Hao , Shi Henglin , Peng Wei , Sebe Nicu , Zhao Guoying",2021,ICCV2021
Aggregation With Feature Detection,"Sun Shuyang , Yue Xiaoyu , Qi Xiaojuan , Ouyang Wanli , Prisacariu Victor Adrian , Torr Philip H.S.",2021,ICCV2021
Multi-Echo LiDAR for 3D Object Detection,"Man Yunze , Weng Xinshuo , Sivakumar Prasanna Kumar , O'Toole Matthew , Kitani Kris M.",2021,ICCV2021
Self-Regulation for Semantic Segmentation,"Zhang Dong , Zhang Hanwang , Tang Jinhui , Hua Xian-Sheng , Sun Qianru",2021,ICCV2021
Skeleton2Mesh: Kinematics Prior Injected Unsupervised Human Mesh Recovery,"Yu Zhenbo , Wang Junjie , Xu Jingwei , Ni Bingbing , Zhao Chenglong , Wang Minsi , Zhang Wenjun",2021,ICCV2021
ReCU: Reviving the Dead Weights in Binary Neural Networks,"Xu Zihan , Lin Mingbao , Liu Jianzhuang , Chen Jie , Shao Ling , Gao Yue , Tian Yonghong , Ji Rongrong",2021,ICCV2021
Membership Inference Attacks Are Easier on Difficult Problems,"Shafran Avital , Peleg Shmuel , Hoshen Yedid",2021,ICCV2021
Auxiliary Tasks and Exploration Enable ObjectGoal Navigation,"Ye Joel , Batra Dhruv , Das Abhishek , Wijmans Erik",2021,ICCV2021
Semantic-Embedded Unsupervised Spectral Reconstruction From Single RGB Images in the Wild,"Zhu Zhiyu , Liu Hui , Hou Junhui , Zeng Huanqiang , Zhang Qingfu",2021,ICCV2021
Foreground-Action Consistency Network for Weakly Supervised Temporal Action Localization,"Huang Linjiang , Wang Liang , Li Hongsheng",2021,ICCV2021
MixMo: Mixing Multiple Inputs for Multiple Outputs via Deep Subnetworks,"Ram\'e Alex,re , Sun R\'emy , Cord Matthieu",2021,ICCV2021
CrowdDriven: A New Challenging Dataset for Outdoor Visual Localization,"Jafarzadeh Ara , Antequera Manuel L\'opez , Gargallo Pau , Kuang Yubin , Toft Carl , Kahl Fredrik , Sattler Torsten",2021,ICCV2021
PnP-DETR: Towards Efficient Visual Analysis With Transformers,"Wang Tao , Yuan Li , Chen Yunpeng , Feng Jiashi , Yan Shuicheng",2021,ICCV2021
PlaneTR: Structure-Guided Transformers for 3D Plane Recovery,"Tan Bin , Xue Nan , Bai Song , Wu Tianfu , Xia Gui-Song",2021,ICCV2021
Concept Generalization in Visual Representation Learning,"Sariyildiz Mert Bulent , Kalantidis Yannis , Larlus Diane , Alahari Karteek",2021,ICCV2021
Unsupervised Segmentation Incorporating Shape Prior via Generative Adversarial Networks,"Kim Dahye , Hong Byung-Woo",2021,ICCV2021
DRB-GAN: A Dynamic ResBlock Generative Adversarial Network for Artistic Style Transfer,"Xu Wenju , Long Chengjiang , Wang Ruisheng , Wang Guanghui",2021,ICCV2021
Act the Part: Learning Interaction Strategies for Articulated Object Part Discovery,"Gadre Samir Yitzhak , Ehsani Kiana , Song Shuran",2021,ICCV2021
DCT-SNN: Using DCT To Distribute Spatial Information Over Time for Low-Latency Spiking Neural Networks,"Garg Isha , Chowdhury Sayeed Shafayet , Roy Kaushik",2021,ICCV2021
Learning To Resize Images for Computer Vision Tasks,"Talebi Hossein , Milanfar Peyman",2021,ICCV2021
Self-Supervised Cryo-Electron Tomography Volumetric Image Restoration From Single Noisy Volume With Sparsity Constraint,"Yang Zhidong , Zhang Fa , Han Renmin",2021,ICCV2021
The Many Faces of Robustness: A Critical Analysis of Out-of-Distribution Generalization,"Hendrycks Dan , Basart Steven , Mu Norman , Kadavath Saurav , Wang Frank , Dorundo Evan , Desai Rahul , Zhu Tyler , Parajuli Samyak , Guo Mike , Song Dawn , Steinhardt Jacob , Gilmer Justin",2021,ICCV2021
Field of Junctions: Extracting Boundary Structure at Low SNR,"Verbin Dor , Zickler Todd",2021,ICCV2021
Crowd Counting With Partial Annotations in an Image,"Xu Yanyu , Zhong Ziming , Lian Dongze , Li Jing , Li Zhengxin , Xu Xinxing , Gao Shenghua",2021,ICCV2021
Continual Neural Mapping: Learning an Implicit Scene Representation From Sequential Observations,"Yan Zike , Tian Yuxin , Shi Xuesong , Guo Ping , Wang Peng , Zha Hongbin",2021,ICCV2021
LSD-StructureNet: Modeling Levels of Structural Detail in 3D Part Hierarchies,"Roberts Dominic , Danielyan Ara , Chu Hang , Golparvar-Fard Mani , Forsyth David",2021,ICCV2021
Weakly Supervised Temporal Anomaly Segmentation With Dynamic Time Warping,"Lee Dongha , Yu Sehun , Ju Hyunjun , Yu Hwanjo",2021,ICCV2021
Adaptive Label Noise Cleaning With Meta-Supervision for Deep Face Recognition,"Zhang Yaobin , Deng Weihong , Zhong Yaoyao , Hu Jiani , Li Xian , Zhao Dongyue , Wen Dongchao",2021,ICCV2021
Unsupervised Dense Deformation Embedding Network for Template-Free Shape Correspondence,"Chen Ronghan , Cong Yang , Dong Jiahua",2021,ICCV2021
Learning Action Completeness From Points for Weakly-Supervised Temporal Action Localization,"Lee Pilhyeon , Byun Hyeran",2021,ICCV2021
Re-Distributing Biased Pseudo Labels for Semi-Supervised Semantic Segmentation: A Baseline Investigation,"He Ruifei , Yang Jihan , Qi Xiaojuan",2021,ICCV2021
Visformer: The Vision-Friendly Transformer,"Chen Zhengsu , Xie Lingxi , Niu Jianwei , Liu Xuefeng , Wei Longhui , Tian Qi",2021,ICCV2021
Learning Indoor Inverse Rendering With 3D Spatially-Varying Lighting,"Wang Zian , Philion Jonah , Fidler Sanja , Kautz Jan",2021,ICCV2021
DeepGaze IIE: Calibrated Prediction in and Out-of-Domain for State-of-the-Art Saliency Modeling,"Linardos Akis , K\""ummerer Matthias , Press Ori , Bethge Matthias",2021,ICCV2021
Learning To Drive From a World on Rails,"Chen Dian , Koltun Vladlen , Kr\""ahenb\""uhl Philipp",2021,ICCV2021
Animatable Neural Radiance Fields for Modeling Dynamic Human Bodies,"Peng Sida , Dong Junting , Wang Qianqian , Zhang Shangzhan , Shuai Qing , Zhou Xiaowei , Bao Hujun",2021,ICCV2021
OpenGAN: Open-Set Recognition via Open Data Generation,"Kong Shu , Ramanan Deva",2021,ICCV2021
Learning To Reduce Defocus Blur by Realistically Modeling Dual-Pixel Data,"Abuolaim Abdullah , Delbracio Mauricio , Kelly Damien , Brown Michael S. , Milanfar Peyman",2021,ICCV2021
Uncertainty-Aware Pseudo Label Refinery for Domain Adaptive Semantic Segmentation,"Wang Yuxi , Peng Junran , Zhang ZhaoXiang",2021,ICCV2021
Mining Contextual Information Beyond Image for Semantic Segmentation,"Jin Zhenchao , Gong Tao , Yu Dongdong , Chu Qi , Wang Jian , Wang Changhu , Shao Jie",2021,ICCV2021
A General Recurrent Tracking Framework Without Real Data,"Wang Shuai , Sheng Hao , Zhang Yang , Wu Yubin , Xiong Zhang",2021,ICCV2021
Knowledge Mining and Transferring for Domain Adaptive Object Detection,"Tian Kun , Zhang Chenghao , Wang Ying , Xiang Shiming , Pan Chunhong",2021,ICCV2021
Cloud Transformers: A Universal Approach to Point Cloud Processing Tasks,"Mazur Kirill , Lempitsky Victor",2021,ICCV2021
TravelNet: Self-Supervised Physically Plausible Hand Motion Learning From Monocular Color Images,"Zhao Zimeng , Zhao Xi , Wang Yangang",2021,ICCV2021
Joint Visual Semantic Reasoning: Multi-Stage Decoder for Text Recognition,"Bhunia Ayan Kumar , Sain Aneeshan , Kumar Am,eep , Ghose Shuvozit , Chowdhury Pinaki Nath , Song Yi-Zhe",2021,ICCV2021
Video Self-Stitching Graph Network for Temporal Action Localization,"Zhao Chen , Thabet Ali K. , Ghanem Bernard",2021,ICCV2021
Dynamic Dual Gating Neural Networks,"Li Fanrong , Li Gang , He Xiangyu , Cheng Jian",2021,ICCV2021
Gravity-Aware Monocular 3D Human-Object Reconstruction,"Dabral Rishabh , Shimada Soshi , Jain Arjun , Theobalt Christian , Golyanik Vladislav",2021,ICCV2021
Exploring Relational Context for Multi-Task Dense Prediction,"Br\""uggemann David , Kanakis Menelaos , Obukhov Anton , Georgoulis Stamatios , Van Gool Luc",2021,ICCV2021
Going Deeper With Image Transformers,"Touvron Hugo , Cord Matthieu , Sablayrolles Alex,re , Synnaeve Gabriel , J\'egou Herv\'e",2021,ICCV2021
UltraPose: Synthesizing Dense Pose With 1 Billion Points by Human-Body Decoupling 3D Model,"Yan Haonan , Chen Jiaqi , Zhang Xujie , Zhang Shengkai , Jiao Nianhong , Liang Xiaodan , Zheng Tianxiang",2021,ICCV2021
Hand Image Understanding via Deep Multi-Task Learning,"Zhang Xiong , Huang Hongsheng , Tan Jianchao , Xu Hongmin , Yang Cheng , Peng Guozhu , Wang Lei , Liu Ji",2021,ICCV2021
MFNet: Multi-Filter Directive Network for Weakly Supervised Salient Object Detection,"Piao Yongri , Wang Jian , Zhang Miao , Lu Huchuan",2021,ICCV2021
DRIVE: Deep Reinforced Accident Anticipation With Visual Explanation,"Bao Wentao , Yu Qi , Kong Yu",2021,ICCV2021
On the Importance of Distractors for Few-Shot Classification,"Das Rajshekhar , Wang Yu-Xiong , Moura Jos\'e M. F.",2021,ICCV2021
Zero-Shot Natural Language Video Localization,"Nam Jinwoo , Ahn Daechul , Kang Dongyeop , Ha Seong Jong , Choi Jonghyun",2021,ICCV2021
Deep Halftoning With Reversible Binary Pattern,"Xia Menghan , Hu Wenbo , Liu Xueting , Wong Tien-Tsin",2021,ICCV2021
Robustness via Cross-Domain Ensembles,"Yeo Teresa , Kar O\u{g}uzhan Fatih , Zamir Amir",2021,ICCV2021
Topic Scene Graph Generation by Attention Distillation From Caption,"Wang Wenbin , Wang Ruiping , Chen Xilin",2021,ICCV2021
FFT-OT: A Fast Algorithm for Optimal Transportation,"Lei Na , Gu Xianfeng",2021,ICCV2021
Contrastive Learning for Label Efficient Semantic Segmentation,"Zhao Xiangyun , Vemulapalli Raviteja , Mansfield Philip Andrew , Gong Boqing , Green Bradley , Shapira Lior , Wu Ying",2021,ICCV2021
Progressive Correspondence Pruning by Consensus Learning,"Zhao Chen , Ge Yixiao , Zhu Feng , Zhao Rui , Li Hongsheng , Salzmann Mathieu",2021,ICCV2021
BiMaL: Bijective Maximum Likelihood Approach to Domain Adaptation in Semantic Scene Segmentation,"Truong Thanh-Dat , Duong Chi Nhan , Le Ngan , Phung Son Lam , Rainwater Chase , Luu Khoa",2021,ICCV2021
Multiscale Vision Transformers,"Fan Haoqi , Xiong Bo , Mangalam Karttikeya , Li Yanghao , Yan Zhicheng , Malik Jitendra , Feichtenhofer Christoph",2021,ICCV2021
Robust Small Object Detection on the Water Surface Through Fusion of Camera and Millimeter Wave Radar,"Cheng Yuwei , Xu Hu , Liu Yimin",2021,ICCV2021
Just a Few Points Are All You Need for Multi-View Stereo: A Novel Semi-Supervised Learning Method for Multi-View Stereo,"Kim Taekyung , Choi Jaehoon , Choi Seokeon , Jung Dongki , Kim Changick",2021,ICCV2021
Multispectral Illumination Estimation Using Deep Unrolling Network,"Li Yuqi , Fu Qiang , Heidrich Wolfgang",2021,ICCV2021
GroupFormer: Group Activity Recognition With Clustered Spatial-Temporal Transformer,"Li Shuaicheng , Cao Qianggang , Liu Lingbo , Yang Kunlin , Liu Shinan , Hou Jun , Yi Shuai",2021,ICCV2021
BAPA-Net: Boundary Adaptation and Prototype Alignment for Cross-Domain Semantic Segmentation,"Liu Yahao , Deng Jinhong , Gao Xinchen , Li Wen , Duan Lixin",2021,ICCV2021
TRiPOD: Human Trajectory and Pose Dynamics Forecasting in the Wild,"Adeli Vida , Ehsanpour Mahsa , Reid Ian , Niebles Juan Carlos , Savarese Silvio , Adeli Ehsan , Rezatofighi Hamid",2021,ICCV2021
Conditional DETR for Fast Training Convergence,"Meng Depu , Chen Xiaokang , Fan Zejia , Zeng Gang , Li Houqiang , Yuan Yuhui , Sun Lei , Wang Jingdong",2021,ICCV2021
Distilling Global and Local Logits With Densely Connected Relations,"Kim Youmin , Park Jinbae , Jang YounHo , Ali Muhammad , Oh Tae-Hyun , Bae Sung-Ho",2021,ICCV2021
A Hierarchical Transformation-Discriminating Generative Model for Few Shot Anomaly Detection,"Sheynin Shelly , Benaim Sagie , Wolf Lior",2021,ICCV2021
MVTN: Multi-View Transformation Network for 3D Shape Recognition,"Hamdi Abdullah , Giancola Silvio , Ghanem Bernard",2021,ICCV2021
GNeRF: GAN-Based Neural Radiance Field Without Posed Camera,"Meng Quan , Chen Anpei , Luo Haimin , Wu Minye , Su Hao , Xu Lan , He Xuming , Yu Jingyi",2021,ICCV2021
"ODAM: Object Detection, Association, and Mapping Using Posed RGB Video","Li Kejie , DeTone Daniel , Chen Yu Fan (Steven) , Vo Minh , Reid Ian , Rezatofighi Hamid , Sweeney Chris , Straub Julian , Newcombe Richard",2021,ICCV2021
Learning Specialized Activation Functions With the Piecewise Linear Unit,"Zhou Yucong , Zhu Zezhou , Zhong Zhao",2021,ICCV2021
Viewpoint Invariant Dense Matching for Visual Geolocalization,"Berton Gabriele , Masone Carlo , Paolicelli Valerio , Caputo Barbara",2021,ICCV2021
Dual Contrastive Loss and Attention for GANs,"Yu Ning , Liu Guilin , Dundar Aysegul , Tao Andrew , Catanzaro Bryan , Davis Larry S. , Fritz Mario",2021,ICCV2021
Video Autoencoder: Self-Supervised Disentanglement of Static 3D Structure and Motion,"Lai Zihang , Liu Sifei , Efros Alexei A. , Wang Xiaolong",2021,ICCV2021
Adaptive Convolutions With Per-Pixel Dynamic Filter Atom,"Wang Ze , Miao Zichen , Hu Jun , Qiu Qiang",2021,ICCV2021
"Video Pose Distillation for Few-Shot, Fine-Grained Sports Action Recognition","Hong James , Fisher Matthew , Gharbi Micha\""el , Fatahalian Kayvon",2021,ICCV2021
Else-Net: Elastic Semantic Network for Continual Action Recognition From Skeleton Data,"Li Tianjiao , Ke Qiuhong , Rahmani Hossein , Ho Rui En , Ding Henghui , Liu Jun",2021,ICCV2021
Low-Shot Validation: Active Importance Sampling for Estimating Classifier Performance on Rare Categories,"Poms Fait , Sarukkai Vishnu , Mullapudi Ravi Teja , Sohoni Nimit S. , Mark William R. , Ramanan Deva , Fatahalian Kayvon",2021,ICCV2021
Deep Matching Prior: Test-Time Optimization for Dense Correspondence,"Hong Sunghwan , Kim Seungryong",2021,ICCV2021
DualPoseNet: Category-Level 6D Object Pose and Size Estimation Using Dual Pose Network With Refined Learning of Pose Consistency,"Lin Jiehong , Wei Zewei , Li Zhihao , Xu Songcen , Jia Kui , Li Yuanqing",2021,ICCV2021
MDETR - Modulated Detection for End-to-End Multi-Modal Understanding,"Kamath Aishwarya , Singh Mannat , LeCun Yann , Synnaeve Gabriel , Misra Ishan , Carion Nicolas",2021,ICCV2021
Calibrated and Partially Calibrated Semi-Generalized Homographies,"Bhayani Snehal , Sattler Torsten , Barath Daniel , Beliansky Patrik , Heikkil\""a Janne , Kukelova Zuzana",2021,ICCV2021
End-to-End Video Instance Segmentation via Spatial-Temporal Graph Neural Networks,"Wang Tao , Xu Ning , Chen Kean , Lin Weiyao",2021,ICCV2021
The Surprising Impact of Mask-Head Architecture on Novel Class Segmentation,"Birodkar Vighnesh , Lu Zhichao , Li Siyang , Rathod Vivek , Huang Jonathan",2021,ICCV2021
The Spatio-Temporal Poisson Point Process: A Simple Model for the Alignment of Event Camera Data,"Gu Cheng , Learned-Miller Erik , Sheldon Daniel , Gallego Guillermo , Bideau Pia",2021,ICCV2021
Learning Self-Similarity in Space and Time As Generalized Motion for Video Action Recognition,"Kwon Heeseung , Kim Manjin , Kwak Suha , Cho Minsu",2021,ICCV2021
Collaborative Optimization and Aggregation for Decentralized Domain Generalization and Adaptation,"Wu Guile , Gong Shaogang",2021,ICCV2021
CR-Fill: Generative Image Inpainting With Auxiliary Contextual Reconstruction,"Zeng Yu , Lin Zhe , Lu Huchuan , Patel Vishal M.",2021,ICCV2021
LookOut: Diverse Multi-Future Prediction and Planning for Self-Driving,"Cui Alex,er , Casas Sergio , Sadat Abbas , Liao Renjie , Urtasun Raquel",2021,ICCV2021
Causal Attention for Unbiased Visual Recognition,"Wang Tan , Zhou Chang , Sun Qianru , Zhang Hanwang",2021,ICCV2021
EC-DARTS: Inducing Equalized and Consistent Optimization Into DARTS,"Zhou Qinqin , Zheng Xiawu , Cao Liujuan , Zhong Bineng , Xi Teng , Zhang Gang , Ding Errui , Xu Mingliang , Ji Rongrong",2021,ICCV2021
Detecting Persuasive Atypicality by Modeling Contextual Compatibility,"Guo Meiqi , Hwa Rebecca , Kovashka Adriana",2021,ICCV2021
Warp-Refine Propagation: Semi-Supervised Auto-Labeling via Cycle-Consistency,"Ganeshan Aditya , Vallet Alexis , Kudo Yasunori , Maeda Shin-ichi , Kerola Tommi , Ambrus Rares , Park Dennis , Gaidon Adrien",2021,ICCV2021
ILVR: Conditioning Method for Denoising Diffusion Probabilistic Models,"Choi Jooyoung , Kim Sungwon , Jeong Yonghyun , Gwon Youngjune , Yoon Sungroh",2021,ICCV2021
STVGBert: A Visual-Linguistic Transformer Based Framework for Spatio-Temporal Video Grounding,"Su Rui , Yu Qian , Xu Dong",2021,ICCV2021
Universal Representation Learning From Multiple Domains for Few-Shot Classification,"Li Wei-Hong , Liu Xialei , Bilen Hakan",2021,ICCV2021
Pseudo-Loss Confidence Metric for Semi-Supervised Few-Shot Learning,"Huang Kai , Geng Jie , Jiang Wen , Deng Xinyang , Xu Zhe",2021,ICCV2021
Learning Dual Priors for JPEG Compression Artifacts Removal,"Fu Xueyang , Wang Xi , Liu Aiping , Han Junwei , Zha Zheng-Jun",2021,ICCV2021
Searching for Two-Stream Models in Multivariate Space for Video Recognition,"Gong Xinyu , Wang Heng , Shou Mike Zheng , Feiszli Matt , Wang Zhangyang , Yan Zhicheng",2021,ICCV2021
Refining Activation Downsampling With SoftPool,"Stergiou Alex,ros , Poppe Ronald , Kalliatakis Grigorios",2021,ICCV2021
Neural-GIF: Neural Generalized Implicit Functions for Animating People in Clothing,"Tiwari Garvita , Sarafianos Nikolaos , Tung Tony , Pons-Moll Gerard",2021,ICCV2021
Learning Multiple Pixelwise Tasks Based on Loss Scale Balancing,"Lee Jae-Han , Lee Chul , Kim Chang-Su",2021,ICCV2021
MLVSNet: Multi-Level Voting Siamese Network for 3D Visual Tracking,"Wang Zhoutao , Xie Qian , Lai Yu-Kun , Wu Jing , Long Kun , Wang Jun",2021,ICCV2021
ACE: Ally Complementary Experts for Solving Long-Tailed Recognition in One-Shot,"Cai Jiarui , Wang Yizhou , Hwang Jenq-Neng",2021,ICCV2021
Hyperspectral Image Denoising With Realistic Data,"Zhang Tao , Fu Ying , Li Cheng",2021,ICCV2021
Collaborative Learning With Disentangled Features for Zero-Shot Domain Adaptation,"Jhoo Won Young , Heo Jae-Pil",2021,ICCV2021
Rethinking Noise Synthesis and Modeling in Raw Denoising,"Zhang Yi , Qin Hongwei , Wang Xiaogang , Li Hongsheng",2021,ICCV2021
Disentangled Representation for Age-Invariant Face Recognition: A Mutual Information Minimization Perspective,"Hou Xuege , Li Yali , Wang Shengjin",2021,ICCV2021
Contact-Aware Retargeting of Skinned Motion,"Villegas Ruben , Ceylan Duygu , Hertzmann Aaron , Yang Jimei , Saito Jun",2021,ICCV2021
Box-Aware Feature Enhancement for Single Object Tracking on Point Clouds,"Zheng Chaoda , Yan Xu , Gao Jiantao , Zhao Weibing , Zhang Wei , Li Zhen , Cui Shuguang",2021,ICCV2021
FATNN: Fast and Accurate Ternary Neural Networks,"Chen Peng , Zhuang Bohan , Shen Chunhua",2021,ICCV2021
Multitask AET With Orthogonal Tangent Regularity for Dark Object Detection,"Cui Ziteng , Qi Guo-Jun , Gu Lin , You Shaodi , Zhang Zenghui , Harada Tatsuya",2021,ICCV2021
Field-Guide-Inspired Zero-Shot Learning,"Mall Utkarsh , Hariharan Bharath , Bala Kavita",2021,ICCV2021
Contrastive Attention Maps for Self-Supervised Co-Localization,"Ki Minsong , Uh Youngjung , Choe Junsuk , Byun Hyeran",2021,ICCV2021
ORBIT: A Real-World Few-Shot Dataset for Teachable Object Recognition,"Massiceti Daniela , Zintgraf Luisa , Bronskill John , Theodorou Lida , Harris Matthew Tobias , Cutrell Edward , Morrison Cecily , Hofmann Katja , Stumpf Simone",2021,ICCV2021
Domain Generalization via Gradient Surgery,"Mansilla Lucas , Echeveste Rodrigo , Milone Diego H. , Ferrante Enzo",2021,ICCV2021
Semi-Supervised Single-Stage Controllable GANs for Conditional Fine-Grained Image Generation,"Chen Tianyi , Liu Yi , Zhang Yunfei , Wu Si , Xu Yong , Liangbing Feng , Wong Hau San",2021,ICCV2021
Partner-Assisted Learning for Few-Shot Image Classification,"Ma Jiawei , Xie Hanchen , Han Guangxing , Chang Shih-Fu , Galstyan Aram , Abd-Almageed Wael",2021,ICCV2021
Contrastive Coding for Active Learning Under Class Distribution Mismatch,"Du Pan , Zhao Suyun , Chen Hui , Chai Shuwen , Chen Hong , Li Cuiping",2021,ICCV2021
Partial Video Domain Adaptation With Partial Adversarial Temporal Attentive Network,"Xu Yuecong , Yang Jianfei , Cao Haozhi , Chen Zhenghua , Li Qi , Mao Kezhi",2021,ICCV2021
Personalized and Invertible Face De-Identification by Disentangled Identity Information Manipulation,"Cao Jingyi , Liu Bo , Wen Yunqian , Xie Rong , Song Li",2021,ICCV2021
Learning Compatible Embeddings,"Meng Qiang , Zhang Chixiang , Xu Xiaoqiang , Zhou Feng",2021,ICCV2021
Seasonal Contrast: Unsupervised Pre-Training From Uncurated Remote Sensing Data,"Ma\~nas Oscar , Lacoste Alex,re , Gir\'o-i-Nieto Xavier , Vazquez David , Rodr{\'\i}guez Pau",2021,ICCV2021
Explain Me the Painting: Multi-Topic Knowledgeable Art Description Generation,"Bai Zechen , Nakashima Yuta , Garcia Noa",2021,ICCV2021
Unsupervised Curriculum Domain Adaptation for No-Reference Video Quality Assessment,"Chen Pengfei , Li Leida , Wu Jinjian , Dong Weisheng , Shi Guangming",2021,ICCV2021
GTT-Net: Learned Generalized Trajectory Triangulation,"Xu Xiangyu , Dunn Enrique",2021,ICCV2021
Contrastive Learning of Image Representations With Cross-Video Cycle-Consistency,"Wu Haiping , Wang Xiaolong",2021,ICCV2021
Learning To Remove Refractive Distortions From Underwater Images,"Thapa Simron , Li Nianyi , Ye Jinwei",2021,ICCV2021
BARF: Bundle-Adjusting Neural Radiance Fields,"Lin Chen-Hsuan , Ma Wei-Chiu , Torralba Antonio , Lucey Simon",2021,ICCV2021
Seeking Similarities Over Differences: Similarity-Based Domain Alignment for Adaptive Object Detection,"Rezaeianaran Farzaneh , Shetty Rakshith , Aljundi Rahaf , Reino Daniel Olmeda , Zhang Shanshan , Schiele Bernt",2021,ICCV2021
LapsCore: Language-Guided Person Search via Color Reasoning,"Wu Yushuang , Yan Zizheng , Han Xiaoguang , Li Guanbin , Zou Changqing , Cui Shuguang",2021,ICCV2021
